,Channel,median_channel,mode_channel,mean_channel,var_channel,mean_median,mode_mean,median_mode,clusterNum
2230,56294,52.61010547,3.772189349,47.77364022,577.9361921,-4.836465253,-44.00145087,48.83791612,2
2231,56295,39.01960001,100,38.28924249,400.5474664,-0.73035752,61.71075751,-60.98039999,2
2232,56296,42.34152261,61.68441578,40.43672678,421.1484414,-1.904795836,21.247689,-19.34289317,2
2257,56322,13.97143873,11.22687807,25.83338515,614.6944879,11.86194642,-14.60650708,2.744560665,2
2258,56323,39.28279256,6.838386141,39.93689787,564.7695605,0.654105305,-33.09851173,32.44440642,2
2259,56324,12.90236022,20.92236741,20.94660565,329.3500791,8.044245429,-0.024238241,-8.020007189,2
2260,56325,12.41277626,27.21062619,17.68435489,185.6678545,5.271578628,9.526271296,-14.79784992,2
2267,56334,33.53993067,58.63715607,36.56470485,621.2227529,3.024774179,22.07245121,-25.09722539,2
2273,56340,34.2564792,10.31162332,34.93457988,437.9645341,0.67810068,-24.62295656,23.94485588,2
2274,56341,38.24926873,100,38.38889842,503.5584631,0.1396297,61.61110158,-61.75073127,2
2275,56342,30.81853962,15.21287643,31.56110745,353.7225132,0.74256783,-16.34823102,15.60566319,2
2276,56343,19.49477925,2.836933374,21.87785684,238.2624078,2.38307759,-19.04092347,16.65784588,2
2279,56346,20.03173841,42.85604783,24.39012968,308.2361001,4.35839127,18.46591815,-22.82430942,2
2280,56347,21.12678177,37.12392414,30.02518296,565.0217378,8.898401191,7.098741173,-15.99714236,2
2296,56363,20.60974348,1.832675259,28.91028723,587.5194466,8.300543746,-27.07761197,18.77706822,2
2297,56364,20.90346169,12.18328841,23.95489604,281.5588008,3.051434348,-11.77160763,8.720173279,2
2302,56369,24.94085468,6.720190306,28.10578624,349.5580434,3.164931568,-21.38559594,18.22066437,2
2303,56370,24.50326121,6.20258813,27.18386627,304.6631493,2.680605056,-20.98127814,18.30067308,2
2313,56380,36.09157599,76.87115644,37.66519636,479.476272,1.573620365,39.20596008,-40.77958045,2
2315,56382,32.33666086,8.109129383,33.32776175,407.8092654,0.991100893,-25.21863237,24.22753148,2
2325,56394,22.06429932,7.46257485,22.86051926,233.0346132,0.796219945,-15.39794441,14.60172447,2
2326,56395,24.80138682,39.43200853,26.24304091,330.9047207,1.441654093,13.18896762,-14.63062171,2
2327,56396,24.71552594,4.972502291,25.90164611,308.5816005,1.186120168,-20.92914382,19.74302365,2
2333,56407,32.22369828,8.808526837,31.98590919,214.7138867,-0.237789094,-23.17738235,23.41517144,2
2335,56409,22.66391717,6.791907514,24.6280588,219.725823,1.964141629,-17.83615128,15.87200965,2
2336,56410,19.64623737,11.13342258,21.51700926,171.9312966,1.870771886,-10.38358668,8.512814793,2
2337,56411,20.77803942,9.639468691,23.81116714,209.2968211,3.033127721,-14.17169845,11.13857073,2
2338,56412,21.77749703,16.25130578,25.61871511,240.7982962,3.841218083,-9.367409335,5.526191252,2
2339,56413,20.61893592,18.25132475,24.47880752,224.7650664,3.859871599,-6.227482765,2.367611166,2
2345,56419,19.08276186,40.11689692,22.23020287,197.3564809,3.147441006,17.88669405,-21.03413506,2
2346,56420,23.8332099,14.4682479,29.1209104,325.3243715,5.287700507,-14.65266251,9.364962002,2
2347,56421,25.6243865,100,30.99140208,367.2805306,5.367015578,69.00859792,-74.3756135,2
2348,56422,23.54801514,11.3779737,28.65441451,320.4457304,5.106399371,-17.27644081,12.17004144,2
319,11810,70.79137158,100,67.52001374,1125.751182,-3.271357843,32.47998626,-29.20862842,4
326,11960,30.4917055,100,44.96120935,921.4354765,14.46950385,55.03879065,-69.5082945,4
343,15240,50.08238178,35.20721267,49.98143408,717.8563561,-0.100947697,-14.77422141,14.87516911,4
344,15260,61.62917062,100,58.7733095,946.7815178,-2.855861126,41.2266905,-38.37082938,4
345,15270,76.68581111,100,67.70965327,1103.726053,-8.976157836,32.29034673,-23.31418889,4
346,15280,74.80702015,100,66.20933948,1204.061726,-8.597680667,33.79066052,-25.19297985,4
348,15290,75.01638338,100,68.54080062,1063.180302,-6.475582763,31.45919938,-24.98361662,4
363,15630,58.65177259,91.60939506,60.28267124,967.9946292,1.630898649,31.32672382,-32.95762247,4
364,15640,68.70319563,91.64206223,66.9085377,745.248241,-1.794657923,24.73352453,-22.9388666,4
386,20750,73.11595823,20.53777018,66.07408321,770.7390494,-7.041875012,-45.53631303,52.57818804,4
413,22320,24.33861052,1.148900555,34.78312631,825.6042701,10.44451579,-33.63422576,23.18970996,4
428,23200,38.23624575,30.37813553,44.35457418,691.4494878,6.118328425,-13.97643865,7.858110225,4
510,28430,9.154241198,100,20.02745653,989.2065262,10.87321533,79.97254347,-90.8457588,4
602,34680,64.60359124,68.54484949,63.2031792,1104.668131,-1.400412043,5.341670292,-3.941258249,4
603,34690,72.8489971,100,65.94116659,1192.635941,-6.907830507,34.05883341,-27.1510029,4
742,50267,51.28514898,100,55.34984257,811.8215301,4.064693597,44.65015743,-48.71485102,4
753,50278,5.103680085,100,21.3449994,894.3678581,16.24131932,78.6550006,-94.89631992,4
917,50654,76.26904467,100,67.67813093,859.7505525,-8.590913743,32.32186907,-23.73095533,4
1184,51116,4.736648535,100,23.35629254,998.3702565,18.61964401,76.64370746,-95.26335147,4
1665,53950,70.79137158,100,67.52001374,1125.751182,-3.271357843,32.47998626,-29.20862842,4
1683,53968,30.4917055,100,44.96120935,921.4354765,14.46950385,55.03879065,-69.5082945,4
1711,54451,61.5723624,18.56250952,60.49024293,1046.252958,-1.082119477,-41.92773341,43.00985289,4
1712,54452,70.0999025,100,64.82291204,1124.676509,-5.27699046,35.17708796,-29.9000975,4
1713,54453,74.73737802,99.90092219,65.91710228,1190.771771,-8.820275742,33.9838199,-25.16354416,4
1714,54454,76.68195635,100,67.69429019,1102.767343,-8.987666168,32.30570981,-23.31804365,4
1715,54455,74.82213127,100,66.20869936,1204.106655,-8.613431909,33.79130064,-25.17786873,4
1716,54456,74.80702015,100,66.20933948,1204.061726,-8.597680667,33.79066052,-25.19297985,4
1717,54457,74.79550721,100,66.20387346,1204.354777,-8.591633748,33.79612654,-25.20449279,4
1718,54458,75.01638338,100,68.54080062,1063.180302,-6.475582763,31.45919938,-24.98361662,4
1719,54459,74.71872003,99.94669915,65.97207178,1192.955074,-8.746648252,33.97462737,-25.22797912,4
1720,54460,67.81260641,39.52268754,64.29271152,1149.939758,-3.519894889,-24.77002398,28.28991887,4
1721,54461,60.95778967,56.60653716,59.92470332,1031.733075,-1.033086354,-3.31816616,4.351252513,4
1722,54462,45.80180009,29.46954813,45.58536987,630.6941542,-0.216430219,-16.11582173,16.33225195,4
1757,54524,67.75235387,14.08939897,67.57936129,1077.46698,-0.172992576,-53.48996232,53.6629549,4
1758,54525,65.38588922,98.92851676,66.15921535,1117.310922,0.773326124,32.76930141,-33.54262754,4
1759,54526,61.53928679,21.96698867,62.56050525,1027.109431,1.021218461,-40.59351659,39.57229813,4
1765,54532,68.70319563,28.55620671,66.9085377,745.248241,-1.794657923,-38.35233099,40.14698892,4
1810,55109,48.99779067,76.02578688,48.31418483,627.5959993,-0.683605837,27.71160205,-27.02799621,4
1904,55275,37.93497206,100,44.27153117,696.5167393,6.336559113,55.72846883,-62.06502794,4
2233,56297,57.51190558,64.91615854,44.02347036,877.4358067,-13.48843523,20.89268818,-7.404252952,4
2234,56298,71.24245705,91.31204309,51.05438034,1279.83898,-20.18807671,40.25766275,-20.06958604,4
2235,56299,82.92578346,42.47916189,64.50301643,903.687993,-18.42276703,-22.02385455,40.44662157,4
2248,56313,62.36447556,100,55.83894373,897.2355374,-6.525531831,44.16105627,-37.63552444,4
2249,56314,44.02665481,100,45.9038413,846.2244469,1.87718649,54.0961587,-55.97334519,4
2250,56315,28.10090723,100,37.02334711,895.6820405,8.922439874,62.97665289,-71.89909277,4
2251,56316,15.42057129,100,29.9163959,999.8954147,14.49582462,70.0836041,-84.57942871,4
2252,56317,32.19596403,100,40.86594609,805.0984534,8.669982056,59.13405391,-67.80403597,4
2253,56318,14.41611758,100,29.70206648,1020.00073,15.2859489,70.29793352,-85.58388242,4
2254,56319,14.30110223,18.9422558,29.60258423,998.9751288,15.301482,-10.66032843,-4.641153574,4
2255,56320,15.72519383,52.62837117,30.52974129,970.6316987,14.80454746,22.09862989,-36.90317734,4
2256,56321,15.68694646,23.97634213,29.89687092,899.5337333,14.20992446,-5.920528792,-8.28939567,4
2264,56329,23.21927138,100,32.34979122,805.8328191,9.130519841,67.65020878,-76.78072862,4
2281,56348,22.38962144,3.165130684,35.46949067,892.7089334,13.07986924,-32.30435999,19.22449075,4
2282,56349,23.56512673,91.0148477,38.18742359,1032.386251,14.62229686,52.8274241,-67.44972097,4
2295,56362,10.49029648,13.06912721,27.10200786,818.4485409,16.61171138,-14.03288065,-2.578830737,4
2314,56381,41.16493999,100,43.22582829,732.4363997,2.060888301,56.77417171,-58.83506001,4
